STATE,COUNTY,METRO_NAME,POPESTIMATE2019,METRO_POPULATION,PERCENT_METRO_POPULATION
Georgia,Fayette,Rural,114421,,
Georgia,Floyd,Rural,98498,,
Georgia,Forsyth,Atlanta,244252,4718134,0.052
Georgia,Franklin,Rural,23349,,
Georgia,Fulton,Atlanta,1063937,4718134,0.226
Georgia,Gilmer,Rural,31369,,
Georgia,Glascock,Rural,2971,,
Georgia,Glynn,Rural,85292,,
Georgia,Gordon,Rural,57963,,
Georgia,Grady,Rural,24633,,
Georgia,Greene,Rural,18324,,
Georgia,Gwinnett,Atlanta,936250,4718134,0.198
Georgia,Habersham,Rural,45328,,
Georgia,Hall,Rural,204441,,
Georgia,Hancock,Rural,8457,,
Georgia,Haralson,Rural,29792,,
Georgia,Harris,Rural,35236,,
Georgia,Hart,Rural,26205,,
Georgia,Heard,Rural,11923,,
Georgia,Henry,Atlanta,234561,4718134,0.050
Georgia,Houston,Macon,157863,311022,0.508
Georgia,Irwin,Rural,9416,,
Georgia,Jackson,Rural,72977,,
Georgia,Jasper,Rural,14219,,
Georgia,Jeff Davis,Rural,15115,,
Georgia,Jefferson,Rural,15362,,
Georgia,Jenkins,Rural,8676,,
Georgia,Johnson,Rural,9643,,
Georgia,Jones,Rural,28735,,
Georgia,Lamar,Rural,19077,,
Georgia,Lanier,Rural,10423,,
Georgia,Laurens,Rural,47546,,
Georgia,Lee,Rural,29992,,
Georgia,Liberty,Rural,61435,,
Georgia,Lincoln,Rural,7921,,
Georgia,Long,Rural,19559,,
Georgia,Lowndes,Rural,117406,,
Georgia,Lumpkin,Rural,33610,,
Georgia,Macon,Rural,12947,,
Georgia,Madison,Rural,29880,,
Georgia,Marion,Rural,8359,,
Georgia,McDuffie,Rural,21312,,
Georgia,McIntosh,Rural,14378,,
Georgia,Meriwether,Rural,21167,,
Georgia,Miller,Rural,5718,,
Georgia,Mitchell,Rural,21863,,
Georgia,Monroe,Rural,27578,,
Georgia,Montgomery,Rural,9172,,
Georgia,Morgan,Rural,19276,,
Georgia,Murray,Rural,40096,,
Georgia,Muscogee,Columbus/GA,195769,253730,0.772
Georgia,Newton,Rural,111744,,
Georgia,Oconee,Rural,40280,,
Georgia,Oglethorpe,Rural,15259,,
Georgia,Paulding,Atlanta,168667,4718134,0.036
Georgia,Peach,Rural,27546,,
Georgia,Pickens,Rural,32591,,
Georgia,Pierce,Rural,19465,,
Georgia,Pike,Rural,18962,,
Georgia,Polk,Rural,42613,,
Georgia,Pulaski,Rural,11137,,
Georgia,Putnam,Rural,22119,,
Georgia,Quitman,Rural,2299,,
Georgia,Rabun,Rural,17137,,
Georgia,Randolph,Rural,6778,,
Georgia,Richmond,Augusta-Aiken,202518,530104,0.382
Georgia,Rockdale,Rural,90896,,
Georgia,Schley,Rural,5257,,
Georgia,Screven,Rural,13966,,
Georgia,Seminole,Rural,8090,,
Georgia,Spalding,Rural,66703,,
Georgia,Stephens,Rural,25925,,
Georgia,Stewart,Rural,6621,,
Georgia,Sumter,Rural,29524,,
Georgia,Talbot,Rural,6195,,
Georgia,Taliaferro,Rural,1537,,
Georgia,Tattnall,Rural,25286,,
Georgia,Taylor,Rural,8020,,
Georgia,Telfair,Rural,15860,,
Georgia,Terrell,Rural,8531,,
Georgia,Thomas,Rural,44451,,
Georgia,Tift,Rural,40644,,
Georgia,Toombs,Rural,26830,,
Georgia,Towns,Rural,12037,,
Georgia,Treutlen,Rural,6901,,
Georgia,Troup,Rural,69922,,
Georgia,Turner,Rural,7985,,
Georgia,Twiggs,Rural,8120,,
Georgia,Union,Rural,24511,,
Georgia,Upson,Rural,26320,,
Georgia,Walker,Chattanooga,69761,505145,0.138
Georgia,Walton,Rural,94593,,
Georgia,Ware,Rural,35734,,
Georgia,Warren,Rural,5254,,
Georgia,Washington,Rural,20374,,
Georgia,Wayne,Rural,29927,,
Georgia,Webster,Rural,2607,,
Georgia,Wheeler,Rural,7855,,
Georgia,White,Rural,30798,,
Georgia,Whitfield,Rural,104628,,
Georgia,Wilcox,Rural,8635,,
Georgia,Wilkes,Rural,9777,,
Georgia,Wilkinson,Rural,8954,,
Georgia,Worth,Rural,20247,,
Hawaii,Honolulu,Honolulu,974563,974563,1.000
Hawaii,Kalawao,Rural,86,,
Hawaii,Kauai,Rural,72293,,
Hawaii,Maui,Rural,167417,,
Idaho,Ada,Boise City,481587,711436,0.677
Idaho,Adams,Rural,4294,,
Idaho,Bannock,Pocatello,87808,87808,1.000
Idaho,Bear Lake,Rural,6125,,
Idaho,Benewah,Rural,9298,,
Idaho,Bingham,Rural,46811,,
Idaho,Blaine,Rural,23021,,
Idaho,Boise,Rural,7831,,
Idaho,Bonner,Rural,45739,,
Idaho,Bonneville,Rural,119062,,
Idaho,Boundary,Rural,12245,,
Idaho,Butte,Rural,2597,,
Idaho,Camas,Rural,1106,,
Idaho,Canyon,Boise City,229849,711436,0.323
Idaho,Caribou,Rural,7155,,
Idaho,Cassia,Rural,24030,,
Idaho,Clark,Rural,845,,
Idaho,Clearwater,Rural,8756,,
Idaho,Custer,Rural,4315,,
Idaho,Elmore,Rural,27511,,
Idaho,Franklin,Rural,13876,,
Idaho,Fremont,Rural,13099,,
Idaho,Gem,Rural,18112,,
Idaho,Gooding,Rural,15179,,
Idaho,Jefferson,Rural,29871,,
Idaho,Jerome,Rural,24412,,
Idaho,Kootenai,Rural,165697,,
Idaho,Latah,Rural,40108,,
Idaho,Lemhi,Rural,8027,,
Idaho,Lewis,Rural,3838,,
Idaho,Lincoln,Rural,5366,,
Idaho,Madison,Rural,39907,,
Idaho,Minidoka,Rural,21039,,
Idaho,Nez Perce,Rural,40408,,
Idaho,Oneida,Rural,4531,,
Idaho,Owyhee,Rural,11823,,
Idaho,Payette,Rural,23951,,
Idaho,Power,Rural,7681,,
Idaho,Shoshone,Rural,12882,,
Idaho,Teton,Rural,12142,,
Idaho,Twin Falls,Rural,86878,,
Idaho,Valley,Rural,11392,,
Idaho,Washington,Rural,10194,,
Illinois,Adams,Rural,65435,,
Illinois,Alexander,Rural,5761,,
Illinois,Bond,Rural,16426,,
Illinois,Boone,Rockford,53544,386759,0.138
Illinois,Brown,Rural,6578,,
Illinois,Bureau,Rural,32628,,
Illinois,Calhoun,Rural,4739,,
Illinois,Carroll,Rural,14305,,
Illinois,Cass,Rural,12147,,
Illinois,Champaign,Champaign-Urbana-Rantoul,209689,209689,1.000
Illinois,Christian,Rural,32304,,
Illinois,Clark,Rural,15441,,
Illinois,Clay,Rural,13184,,
Illinois,Clinton,Rural,37562,,
Illinois,Coles,Rural,50621,,
Illinois,Cook,Chicago,5150233,8300609,0.621
Illinois,Crawford,Rural,18667,,
Illinois,Cumberland,Rural,10766,,
Illinois,De Witt,Rural,15638,,
Illinois,DeKalb,Rural,104897,,
Illinois,Douglas,Rural,19465,,
Illinois,DuPage,Chicago,922921,8300609,0.111
Illinois,Edgar,Rural,17161,,
Illinois,Edwards,Rural,6395,,
Illinois,Effingham,Rural,34008,,
Illinois,Fayette,Rural,21336,,
Illinois,Ford,Rural,12961,,
Illinois,Franklin,Rural,38469,,
Illinois,Fulton,Rural,34340,,
Illinois,Gallatin,Rural,4828,,
Illinois,Greene,Rural,12969,,
Illinois,Grundy,Rural,51054,,
Illinois,Hamilton,Rural,8116,,
Illinois,Hancock,Rural,17708,,
Illinois,Hardin,Rural,3821,,
Illinois,Henderson,Rural,6646,,
Illinois,Henry,Rural,48913,,
Illinois,Iroquois,Rural,27114,,
Illinois,Jackson,Rural,56750,,
Illinois,Jasper,Rural,9610,,
Illinois,Jefferson,Rural,37684,,
Illinois,Jersey,Rural,21773,,
Illinois,Jo Daviess,Rural,21235,,
Illinois,Johnson,Rural,12417,,
Illinois,Kane,Chicago,532403,8300609,0.064
Illinois,Kankakee,Kankakee,109862,109862,1.000
Illinois,Kendall,Rural,128990,,
Illinois,Knox,Rural,49699,,
Illinois,Lake,Chicago,696535,8300609,0.084
Illinois,LaSalle,Rural,108669,,
Illinois,Lawrence,Rural,15678,,
Illinois,Lee,Rural,34096,,
Illinois,Livingston,Rural,35648,,
Illinois,Logan,Rural,28618,,
Illinois,Macon,Rural,104009,,
Illinois,Macoupin,Rural,44926,,
Illinois,Madison,St. Louis,262966,2247927,0.117
Illinois,Marion,Rural,37205,,
Illinois,Marshall,Rural,11438,,
Illinois,Mason,Rural,13359,,
Illinois,Massac,Rural,13772,,
Illinois,McDonough,Rural,29682,,
